Material,Texto breve de material,Centro,Almacén,Lote,Unidad medida base,Libre utilización,Valor libre util.,Fecha
100000,CANASTILLA GIGANTE MEDIANO,0R20,AP01,,PZA,"27,067","2,552,543.800",02/01/2025
100109,SEPARADOR REGULAR SHOLULDER 29.5 X 10,0R20,AP06,,PZA,"15,009","7,721.790",02/01/2025
102004,Bolsa Vacio 13X18 JKK PACK CAL 50,0R20,AP02,,PZA,"14,716","54,278.170",02/01/2025
101855,ETIQUETA ARRACHERA CERDO 150 X 80 MM,0R20,AP03,,PZA,"11,157","16,466.660",02/01/2025
101636,BOLSA STAND UP LEÑA 180X230+80,0R20,AP03,,PZA,"7,234","19,050.280",02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP02,,PZA,"5,324","12,980.900",02/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP01,,PZA,"4,637","71,250.560",02/01/2025
100155,BANDA RAYADA DE CARTON CORRUGADO SIMBOLO,0R20,AP01,,PZA,"4,570","15,949.300",02/01/2025
101642,BOLSA STAND UP PASTOR 180X230+80,0R20,AP03,,PZA,"4,284","10,615.990",02/01/2025
101656,BOLSA POUCHE FONDO NEGRO 7X12 ARRACHERA,0R20,AP03,,PZA,"3,883","7,020.000",02/01/2025
101635,BOLSA STAND UP YUCATECA 180X230+80,0R20,AP03,,PZA,"3,838","9,460.360",02/01/2025
101639,BOLSA SANTUP LONGANIZAAHUMADA 200X300+80,0R20,AP03,,PZA,"3,701","9,849.310",02/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP03,,PZA,"3,656","14,794.810",02/01/2025
101637,BOLSA STANDUP FINASHIERBAS 180X230+80,0R20,AP03,,PZA,"3,290","7,722.660",02/01/2025
100112,SEPARADOR BELLY DE 52.5 X 25.5 CM,0R20,AP06,,PZA,"3,139","6,706.000",02/01/2025
101892,BOLSA TBG 12X17 CHUL AHUMADA,0R20,AP09,,PZA,"2,994","39,560.290",02/01/2025
101638,BOLSA STAND UP ADOBO 180X230+80,0R20,AP03,,PZA,"2,176","5,611.870",02/01/2025
101694,TAPA GPM-006T 1 TINTA BIOPAPEL,0R20,AP01,,PZA,"2,101","38,104.750",02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP01,,PZA,"2,078","5,066.550",02/01/2025
101634,BOLSA STAND UP AJO 180X230+80,0R20,AP03,,PZA,"2,017","4,731.590",02/01/2025
100766,BOLSA STAND UP TOCINO 250X270+140,0R20,AP03,,PZA,"2,012","6,023.880",02/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP01,,PZA,"1,656","14,929.750",02/01/2025
100138,FONDO KNT-005F P/REGULAR BELLY,0R20,AP01,,PZA,"1,414","19,049.670",02/01/2025
100167,"BOLSA C/CUBREHUESO 11""X31"" (100278789)",0R20,AP09,,PZA,"1,266","30,019.580",02/01/2025
100780,BOLSA STAND UP HAMBUR CERDO 250X270+140,0R20,AP03,,PZA,"1,257","3,490.290",02/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP01,,PZA,"1,035","9,175.890",02/01/2025
100054,PAÑOS DE 48 X 50/250 NAT R/S 6.25,0R20,AP01,,PZA,"1,018",835.270,02/01/2025
101692,TAPA GPM-011T2 (N COLLAR) 1 TINTA,0R20,AP06,,PZA,"1,017","11,904.520",02/01/2025
101641,BOLSA SANTUP LONGANIZANATURAL 200X300+80,0R20,AP03,,PZA,"1,015","2,683.100",02/01/2025
101775,BOLSA Z5CR 11X19 CON IMPRESION ZUBEX,0R20,AP03,,PZA,"1,000","4,939.140",02/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP01,,PZA,940,"3,803.920",02/01/2025
100980,BOLSA 10”X14” PCHBIO 250 ZUBEX,0R20,AP03,,PZA,931,"1,906.260",02/01/2025
