Fecha,Material,Descripcion,KG MERMADOS,PROCESO
02/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,65.4,REBANADO AHUMADO
02/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,781.7,AHUMADO
02/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,43.5,VALOR AGREGADO
02/01/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,2.115,VALOR AGREGADO
02/01/2025,134805C1,MAT PRIMA RTE 80/20 HAMBURGUESA TOCINO,6.985,VALOR AGREGADO
02/01/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,22.4,REBANADOS
02/01/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,14.8,REBANADOS
02/01/2025,134372G1,MAT PRIMA MILANESA TAQUERA,115.4,REBANADOS
02/01/2025,134797A5,MP INT RECORTE MAGRO,23.4,REBANADOS
02/01/2025,134325G3,PERNIL,176.409,DESHUESE DE PERNIL
02/01/2025,134548C1,MAT PRIMA ENTRECOAT PARA INYECCION,38.199,INYECCIÓN
03/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,825.7,AHUMADO
03/01/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,98.4,REBANADOS
03/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,15,REBANADOS
03/01/2025,134372G5,MAT PRIMA MILANESA TAQUERA,84.4,REBANADOS
03/01/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,668,DESHUESE DE PERNIL
03/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
03/01/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,0.682,VALOR AGREGADO
03/01/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,4.684,VALOR AGREGADO
03/01/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,16.243,VALOR AGREGADO
03/01/2025,134401I1,CUARTEO PANCETA,31.996,DESBARATADO DE CANALES
04/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,78,REBANADO AHUMADO
04/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,753,AHUMADO
04/01/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,37.05,VALOR AGREGADO
04/01/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,6.6,REBANADOS
04/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,2.3,REBANADOS
04/01/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,91.5,REBANADOS
04/01/2025,134372G1,MAT PRIMA MILANESA TAQUERA,106.8,REBANADOS
04/01/2025,134372G3,MAT PRIMA MILANESA TAQUERA,29.5,REBANADOS
04/01/2025,134325G3,PERNIL,49.46,DESHUESE DE PERNIL
06/01/2025,134314C1,MAT PRIMA MILANESA PARA MARINAR,4.411,VALOR AGREGADO
06/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,21.553,VALOR AGREGADO
06/01/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,4.819,VALOR AGREGADO
06/01/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.451,VALOR AGREGADO
06/01/2025,139405C1,MAT PRIMA RTE 80/20 MOLIDA DE LONGANIZA,0.967,VALOR AGREGADO
06/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,7.1,REBANADOS
06/01/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,11.2,REBANADOS
06/01/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,42.8,REBANADOS
06/01/2025,134372G3,MAT PRIMA MILANESA TAQUERA,84.7,REBANADOS
06/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,79.1,REBANADO AHUMADO
06/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,318.8,AHUMADO
06/01/2025,134325G3,PERNIL,573.682,DESHUESE DE PERNIL
06/01/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,7.1,DESBARATADO DE CANALES
06/01/2025,134614G2,KASTACAN,28.35,DESBARATADO DE CANALES
07/01/2025,134314C1,MAT PRIMA MILANESA PARA MARINAR,89.733,VALOR AGREGADO
07/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
07/01/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,6.489,VALOR AGREGADO
07/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,81.4,REBANADO AHUMADO
07/01/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,58.1,REBANADOS
07/01/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,20.1,REBANADOS
07/01/2025,134372G1,MAT PRIMA MILANESA TAQUERA,50.8,REBANADOS
08/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,373.6,AHUMADO
08/01/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,21.8,DESBARATADO DE CANALES
08/01/2025,134325G3,PERNIL,590.867,DESHUESE DE PERNIL
08/01/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,178.833,DESHUESE DE PERNIL
08/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,22.339,VALOR AGREGADO
08/01/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,2.174,VALOR AGREGADO
08/01/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,2.761,VALOR AGREGADO
08/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,408.2,AHUMADO
08/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,27.6,REBANADO AHUMADO
08/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,25.1,REBANADOS
08/01/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,121.5,REBANADOS
08/01/2025,134372G3,MAT PRIMA MILANESA TAQUERA,111.3,REBANADOS
08/01/2025,134548C1,MAT PRIMA ENTRECOAT PARA INYECCION,54.702,INYECCIÓN
08/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,76,AHUMADO
09/01/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,8.2,REBANADOS
09/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,26.5,REBANADOS
09/01/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,16.8,REBANADOS
09/01/2025,134372G1,MAT PRIMA MILANESA TAQUERA,79.9,REBANADOS
09/01/2025,134314C1,MAT PRIMA MILANESA PARA MARINAR,0.009,VALOR AGREGADO
09/01/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,16.278,VALOR AGREGADO
09/01/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,97.6,REBANADO AHUMADO
09/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,769.3,AHUMADO
09/01/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,9.7,DESBARATADO DE CANALES
09/01/2025,134203I1,CUARTEO PALETA CON MANITA,11.352,DESBARATADO DE CANALES
10/01/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,364,AHUMADO
10/01/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,13,REBANADOS
10/01/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,62.9,REBANADOS
10/01/2025,134372G5,MAT PRIMA MILANESA TAQUERA,126.3,REBANADOS
10/01/2025,134798C1,MAT PRIMA RECORTE MAGRO,0.6,REBANADOS
