Fecha,Movimiento,Material,Texto de material,Tipo,Terminado,Semana,Mes,Cantidad
45656,101,134208M1,ESPALDILLA REJALADA,Terminado,ESPALDILLA REJALADA,1,ene,2080.4
45656,261,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,Materia prima,ESPALDILLA REJALADA,1,ene,2499.1
45656,261,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,Materia prima,ESPALDILLA REJALADA,1,ene,1.9
45656,531,134603M5,GRASA,Subproducto,ESPALDILLA REJALADA,1,ene,111.7
45656,531,134701M5,RECORTE 80 - 20,Subproducto,ESPALDILLA REJALADA,1,ene,307
45656,101,134209M1,CABEZA DE LOMO REJALADO,Terminado,CABEZA DE LOMO REJALADO,1,ene,1577.2
45656,261,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,Materia prima,CABEZA DE LOMO REJALADO,1,ene,1577.2
45656,261,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,Materia prima,CABEZA DE LOMO REJALADO,1,ene,43.8
45656,531,132000M5,DECOMISO,Subproducto,MILANESA,1,ene,9.7
45656,531,134307M1, CHAMBARETE,Subproducto,MILANESA,1,ene,263.2
45656,101,134327M1,MILANESA,Terminado,MILANESA,1,ene,2703.2
45656,261,134358G1,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,3172.8
45656,261,134358G1,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,28.2
45656,531,134603M5,GRASA,Subproducto,MILANESA,1,ene,56.1
45656,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA,1,ene,140.6
45656,531,132000M5,DECOMISO,Subproducto,MILANESA,1,ene,34.6
45656,531,134307M1, CHAMBARETE,Subproducto,MILANESA,1,ene,738.2
45656,101,134327M1,MILANESA,Terminado,MILANESA,1,ene,6354.2
45656,261,134358G3,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,8198.6
45656,261,134358G3,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,10.2
45656,531,134603M5,GRASA,Subproducto,MILANESA,1,ene,173.3
45656,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA,1,ene,384
45656,531,134702M5,RECORTE ESPECIAL,Subproducto,MILANESA,1,ene,541.7
45656,261,134372G1,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,3123.9
45656,261,134372G1,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,68.3
45656,101,134372M1,MILANESA TAQUERA,Terminado,MILANESA TAQUERA,1,ene,3043.1
45656,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA TAQUERA,1,ene,80.8
45656,261,134372G3,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,2144.5
45656,261,134372G3,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,19.5
45656,101,134372M1,MILANESA TAQUERA,Terminado,MILANESA TAQUERA,1,ene,2068.7
45656,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA TAQUERA,1,ene,75.8
45656,101,134209M1,CABEZA DE LOMO REJALADO,Terminado,CABEZA DE LOMO REJALADO,1,ene,1015.5
45656,261,134281G5,INT CABEZA DE LOMO REJALADO,Materia prima,CABEZA DE LOMO REJALADO,1,ene,985.2
45656,261,134281G5,INT CABEZA DE LOMO REJALADO,Materia prima,CABEZA DE LOMO REJALADO,1,ene,14.3
45657,531,132000M5,DECOMISO,Subproducto,MILANESA,1,ene,32.6
45657,531,134307M1, CHAMBARETE,Subproducto,MILANESA,1,ene,1342.9
45657,101,134327M1,MILANESA,Terminado,MILANESA,1,ene,10830.8
45657,261,134358G3,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,13944.6
45657,261,134358G3,MAT PRIMA MILANESA DE PIERNA,Materia prima,MILANESA,1,ene,15
45657,531,134603M5,GRASA,Subproducto,MILANESA,1,ene,311.7
45657,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA,1,ene,657.4
45657,531,134702M5,RECORTE ESPECIAL,Subproducto,MILANESA,1,ene,799.6
45657,261,134372G3,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,4656.8
45657,261,134372G3,MAT PRIMA MILANESA TAQUERA,Materia prima,MILANESA TAQUERA,1,ene,53.2
45657,101,134372M1,MILANESA TAQUERA,Terminado,MILANESA TAQUERA,1,ene,4514
45657,531,134701M5,RECORTE 80 - 20,Subproducto,MILANESA TAQUERA,1,ene,142.8
45657,531,134603M5,GRASA,Subproducto,ARRACHERA DE CERDO,1,ene,81.9
45657,261,134701M5,RECORTE 80 - 20,Materia prima,ARRACHERA DE CERDO,1,ene,30.5
45657,261,134797A5,INT RECORTE MAGRO,Materia prima,ARRACHERA DE CERDO,1,ene,434.2
